Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Travis Kelce,KAN,30,19,63.33%,102,10,28.00%,19,13,68.42%,44,8,29.70%,All Travis Kelce red zone receiving plays
Justin Jefferson,MIN,28,14,50.00%,106,6,28.60%,19,9,47.37%,59,5,36.50%,All Justin Jefferson red zone receiving plays
D.K. Metcalf,SEA,27,8,29.63%,62,5,40.30%,10,3,30.00%,15,3,37.00%,All D.K. Metcalf red zone receiving plays
Ja'Marr Chase,CIN,24,14,58.33%,113,5,27.60%,9,3,33.33%,19,3,25.70%,All Ja'Marr Chase red zone receiving plays
Stefon Diggs,BUF,23,11,47.83%,91,7,29.90%,12,5,41.67%,21,4,34.30%,All Stefon Diggs red zone receiving plays
Austin Ekeler,LAC,23,18,78.26%,65,5,24.00%,13,12,92.31%,0,3,28.30%,All Austin Ekeler red zone receiving plays
Davante Adams,LVR,22,10,45.45%,39,4,31.90%,12,5,41.67%,18,4,36.40%,All Davante Adams red zone receiving plays
Christian Kirk,JAX,22,12,54.55%,97,7,28.90%,10,6,60.00%,33,6,31.30%,All Christian Kirk red zone receiving plays
Amon-Ra St. Brown,DET,21,13,61.90%,98,6,24.40%,7,5,71.43%,20,4,17.10%,All Amon-Ra St. Brown red zone receiving plays
Adam Thielen,MIN,21,14,66.67%,78,5,21.40%,11,6,54.55%,13,4,21.20%,All Adam Thielen red zone receiving plays
David Njoku,CLE,20,12,60.00%,87,4,28.60%,7,3,42.86%,21,2,23.30%,All David Njoku red zone receiving plays
Garrett Wilson,NYJ,19,5,26.32%,35,3,30.20%,10,3,30.00%,15,2,35.70%,All Garrett Wilson red zone receiving plays
Russell Gage,TAM,18,12,66.67%,76,5,18.80%,9,6,66.67%,25,5,18.40%,All Russell Gage red zone receiving plays
T.J. Hockenson,2TM,18,10,55.56%,61,5,,8,3,37.50%,10,3,,All T.J. Hockenson red zone receiving plays
Zay Jones,JAX,18,8,44.44%,40,3,23.70%,7,4,57.14%,14,2,21.90%,All Zay Jones red zone receiving plays
Mark Andrews,BAL,17,10,58.82%,62,5,24.30%,6,3,50.00%,3,2,20.70%,All Mark Andrews red zone receiving plays
Allen Lazard,GNB,17,9,52.94%,50,4,23.00%,10,5,50.00%,15,3,31.30%,All Allen Lazard red zone receiving plays
A.J. Brown,PHI,16,8,50.00%,82,4,34.00%,8,3,37.50%,21,2,40.00%,All A.J. Brown red zone receiving plays
Amari Cooper,CLE,16,6,37.50%,54,6,22.90%,7,3,42.86%,17,3,23.30%,All Amari Cooper red zone receiving plays
Tyler Higbee,LAR,16,8,50.00%,61,3,24.20%,10,5,50.00%,31,3,25.60%,All Tyler Higbee red zone receiving plays
Diontae Johnson,PIT,16,6,37.50%,38,0,28.60%,5,2,40.00%,8,0,17.20%,All Diontae Johnson red zone receiving plays
Drake London,ATL,16,8,50.00%,59,4,33.30%,9,3,33.33%,13,3,32.10%,All Drake London red zone receiving plays
Dalton Schultz,DAL,16,8,50.00%,59,5,23.90%,8,6,75.00%,39,4,22.90%,All Dalton Schultz red zone receiving plays
JuJu Smith-Schuster,KAN,16,12,75.00%,73,1,15.00%,4,2,50.00%,2,1,6.30%,All JuJu Smith-Schuster red zone receiving plays
Brandon Aiyuk,SFO,15,10,66.67%,75,6,24.60%,4,3,75.00%,12,3,13.30%,All Brandon Aiyuk red zone receiving plays
Keenan Allen,LAC,15,9,60.00%,56,3,15.60%,7,3,42.86%,9,2,15.20%,All Keenan Allen red zone receiving plays
Zach Ertz,ARI,15,8,53.33%,42,4,24.60%,10,5,50.00%,28,4,35.70%,All Zach Ertz red zone receiving plays
Gerald Everett,LAC,15,9,60.00%,60,4,15.60%,7,3,42.86%,11,2,15.20%,All Gerald Everett red zone receiving plays
Chris Godwin,TAM,15,10,66.67%,65,3,15.60%,9,6,66.67%,32,3,18.40%,All Chris Godwin red zone receiving plays
George Kittle,SFO,15,8,53.33%,53,5,24.60%,8,4,50.00%,14,4,26.70%,All George Kittle red zone receiving plays
Jerick McKinnon,KAN,15,11,73.33%,50,7,14.00%,11,9,81.82%,46,7,17.20%,All Jerick McKinnon red zone receiving plays
Cade Otton,TAM,15,6,40.00%,19,2,15.60%,8,3,37.50%,7,2,16.30%,All Cade Otton red zone receiving plays
Mike Evans,TAM,14,7,50.00%,40,3,14.60%,7,2,28.57%,6,2,14.30%,All Mike Evans red zone receiving plays
Michael Pittman,IND,14,9,64.29%,58,4,22.20%,9,5,55.56%,18,3,28.10%,All Michael Pittman red zone receiving plays
Allen Robinson,LAR,14,5,35.71%,33,3,21.20%,12,4,33.33%,18,3,30.80%,All Allen Robinson red zone receiving plays
D'Andre Swift,DET,14,10,71.43%,64,1,16.30%,3,1,33.33%,7,1,7.30%,All D'Andre Swift red zone receiving plays
Gabriel Davis,BUF,13,6,46.15%,60,3,16.90%,5,1,20.00%,8,1,14.30%,All Gabriel Davis red zone receiving plays
Joe Mixon,CIN,13,9,69.23%,41,2,14.90%,6,2,33.33%,12,1,17.10%,All Joe Mixon red zone receiving plays
Donovan Peoples-Jones,CLE,13,5,38.46%,24,3,18.60%,7,3,42.86%,9,2,23.30%,All Donovan Peoples-Jones red zone receiving plays
Josh Reynolds,DET,13,6,46.15%,34,3,15.10%,10,5,50.00%,22,3,24.40%,All Josh Reynolds red zone receiving plays
Deebo Samuel,SFO,13,8,61.54%,46,1,21.30%,7,3,42.86%,16,1,23.30%,All Deebo Samuel red zone receiving plays
Christian Watson,GNB,13,8,61.54%,54,4,17.60%,7,4,57.14%,17,2,21.90%,All Christian Watson red zone receiving plays
Mike Williams,LAC,13,9,69.23%,83,4,13.50%,1,1,100.00%,10,1,2.20%,All Mike Williams red zone receiving plays
Robert Woods,TEN,13,7,53.85%,52,2,23.20%,5,3,60.00%,20,2,20.80%,All Robert Woods red zone receiving plays
Tyler Boyd,CIN,12,9,75.00%,72,4,13.80%,4,3,75.00%,7,2,11.40%,All Tyler Boyd red zone receiving plays
Michael Gallup,DAL,12,6,50.00%,52,4,17.90%,7,3,42.86%,19,2,20.00%,All Michael Gallup red zone receiving plays
Mike Gesicki,MIA,12,8,66.67%,63,5,19.40%,7,4,57.14%,19,3,22.60%,All Mike Gesicki red zone receiving plays
CeeDee Lamb,DAL,12,8,66.67%,52,4,17.90%,6,4,66.67%,17,3,17.10%,All CeeDee Lamb red zone receiving plays
DeVonta Smith,PHI,12,7,58.33%,64,5,25.50%,4,3,75.00%,18,3,20.00%,All DeVonta Smith red zone receiving plays
Courtland Sutton,DEN,12,4,33.33%,30,1,24.50%,6,1,16.67%,5,1,22.20%,All Courtland Sutton red zone receiving plays
Jordan Akins,HOU,11,6,54.55%,55,3,16.70%,3,2,66.67%,7,1,12.00%,All Jordan Akins red zone receiving plays
Noah Brown,DAL,11,7,63.64%,48,3,16.40%,5,3,60.00%,14,2,14.30%,All Noah Brown red zone receiving plays
Mack Hollins,LVR,11,5,45.45%,34,2,15.90%,7,3,42.86%,17,2,21.20%,All Mack Hollins red zone receiving plays
Juwan Johnson,NOR,11,7,63.64%,73,5,18.00%,4,3,75.00%,13,2,19.00%,All Juwan Johnson red zone receiving plays
Marvin Jones,JAX,11,6,54.55%,66,3,14.50%,5,3,60.00%,26,2,15.60%,All Marvin Jones red zone receiving plays
Alvin Kamara,NOR,11,7,63.64%,41,1,18.00%,1,1,100.00%,5,0,4.80%,All Alvin Kamara red zone receiving plays
Cooper Kupp,LAR,11,8,72.73%,56,4,16.70%,6,4,66.67%,15,3,15.40%,All Cooper Kupp red zone receiving plays
Isaiah Likely,BAL,11,6,54.55%,36,2,15.70%,7,3,42.86%,22,2,24.10%,All Isaiah Likely red zone receiving plays
Terry McLaurin,WAS,11,8,72.73%,69,3,20.40%,3,3,100.00%,14,1,10.70%,All Terry McLaurin red zone receiving plays
Chris Moore,HOU,11,5,45.45%,33,2,16.70%,2,1,50.00%,4,0,8.00%,All Chris Moore red zone receiving plays
Marquez Valdes-Scantling,KAN,11,3,27.27%,29,2,10.30%,5,1,20.00%,4,1,7.80%,All Marquez Valdes-Scantling red zone receiving plays
Darren Waller,LVR,11,4,36.36%,28,1,15.90%,7,2,28.57%,9,1,21.20%,All Darren Waller red zone receiving plays
Marquise Brown,ARI,10,5,50.00%,30,1,16.40%,2,1,50.00%,6,1,7.10%,All Marquise Brown red zone receiving plays
Brandin Cooks,HOU,10,7,70.00%,54,3,15.20%,4,1,25.00%,6,1,16.00%,All Brandin Cooks red zone receiving plays
Dalvin Cook,MIN,10,5,50.00%,34,1,10.20%,4,3,75.00%,13,0,7.70%,All Dalvin Cook red zone receiving plays
Pat Freiermuth,PIT,10,4,40.00%,26,2,17.90%,6,2,33.33%,18,2,20.70%,All Pat Freiermuth red zone receiving plays
Mecole Hardman,KAN,10,8,80.00%,52,4,9.30%,6,5,83.33%,22,4,9.40%,All Mecole Hardman red zone receiving plays
Tee Higgins,CIN,10,5,50.00%,41,4,11.50%,4,3,75.00%,19,3,11.40%,All Tee Higgins red zone receiving plays
Jerry Jeudy,DEN,10,6,60.00%,39,4,20.40%,6,4,66.67%,21,3,22.20%,All Jerry Jeudy red zone receiving plays
Cole Kmet,CHI,10,8,80.00%,60,6,27.00%,5,3,60.00%,20,3,29.40%,All Cole Kmet red zone receiving plays
D.J. Moore,CAR,10,5,50.00%,36,4,26.30%,5,3,60.00%,15,3,29.40%,All D.J. Moore red zone receiving plays
Chris Olave,NOR,10,7,70.00%,63,2,16.40%,2,2,100.00%,9,1,9.50%,All Chris Olave red zone receiving plays
Josh Oliver,BAL,10,4,40.00%,24,2,14.30%,3,1,33.33%,1,1,10.30%,All Josh Oliver red zone receiving plays
Demarcus Robinson,BAL,10,4,40.00%,28,2,14.30%,3,1,33.33%,6,1,10.30%,All Demarcus Robinson red zone receiving plays
Rex Burkhead,HOU,9,6,66.67%,30,1,13.60%,5,3,60.00%,15,1,20.00%,All Rex Burkhead red zone receiving plays
Parris Campbell,IND,9,3,33.33%,16,2,14.30%,5,3,60.00%,16,2,15.60%,All Parris Campbell red zone receiving plays
DeAndre Carter,LAC,9,4,44.44%,19,0,9.40%,3,2,66.67%,2,0,6.50%,All DeAndre Carter red zone receiving plays
Leonard Fournette,TAM,9,9,100.00%,52,3,9.40%,4,4,100.00%,14,2,8.20%,All Leonard Fournette red zone receiving plays
Tyreek Hill,MIA,9,4,44.44%,18,2,14.50%,6,2,33.33%,5,2,19.40%,All Tyreek Hill red zone receiving plays
Hayden Hurst,CIN,9,6,66.67%,42,2,10.30%,4,2,50.00%,3,1,11.40%,All Hayden Hurst red zone receiving plays
Aaron Jones,GNB,9,9,100.00%,34,3,12.20%,5,5,100.00%,22,3,15.60%,All Aaron Jones red zone receiving plays
Dawson Knox,BUF,9,7,77.78%,52,5,11.70%,5,4,80.00%,15,3,14.30%,All Dawson Knox red zone receiving plays
Christian McCaffrey,2TM,9,7,77.78%,54,3,,3,2,66.67%,12,2,,All Christian McCaffrey red zone receiving plays
Isaiah McKenzie,BUF,9,6,66.67%,50,4,11.70%,5,3,60.00%,19,3,14.30%,All Isaiah McKenzie red zone receiving plays
K.J. Osborn,MIN,9,7,77.78%,49,4,9.20%,5,3,60.00%,16,3,9.60%,All K.J. Osborn red zone receiving plays
Kalif Raymond,DET,9,5,55.56%,39,0,10.50%,3,1,33.33%,3,0,7.30%,All Kalif Raymond red zone receiving plays
Curtis Samuel,WAS,9,5,55.56%,27,2,16.70%,8,4,50.00%,12,1,28.60%,All Curtis Samuel red zone receiving plays
Harrison Bryant,CLE,8,3,37.50%,14,1,11.40%,4,2,50.00%,9,1,13.30%,All Harrison Bryant red zone receiving plays
Michael Carter,NYJ,8,5,62.50%,14,0,12.70%,3,0,0.00%,0,0,10.70%,All Michael Carter red zone receiving plays
Nico Collins,HOU,8,3,37.50%,22,2,12.10%,3,1,33.33%,6,1,12.00%,All Nico Collins red zone receiving plays
