Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Zach Ertz,PHI,27,16,59.26%,118,7,34.60%,10,7,70.00%,35,5,27.00%,All Zach Ertz red zone receiving plays
JuJu Smith-Schuster,PIT,26,14,53.85%,87,5,31.30%,11,7,63.64%,13,3,30.60%,All JuJu Smith-Schuster red zone receiving plays
Michael Thomas,NOR,26,22,84.62%,138,7,28.90%,14,12,85.71%,48,6,31.80%,All Michael Thomas red zone receiving plays
Alvin Kamara,NOR,25,20,80.00%,123,3,27.80%,8,7,87.50%,30,2,18.20%,All Alvin Kamara red zone receiving plays
DeAndre Hopkins,HOU,24,14,58.33%,127,8,35.30%,15,7,46.67%,41,4,38.50%,All DeAndre Hopkins red zone receiving plays
Travis Kelce,KAN,24,16,66.67%,129,9,26.10%,12,7,58.33%,32,5,26.70%,All Travis Kelce red zone receiving plays
Davante Adams,GNB,23,14,60.87%,133,12,40.40%,8,6,75.00%,36,6,36.40%,All Davante Adams red zone receiving plays
James White,NWE,22,16,72.73%,117,7,27.20%,9,4,44.44%,23,4,25.00%,All James White red zone receiving plays
Julian Edelman,NWE,20,14,70.00%,106,4,24.70%,11,6,54.55%,28,3,30.60%,All Julian Edelman red zone receiving plays
Adam Thielen,MIN,20,15,75.00%,90,6,30.30%,8,5,62.50%,17,4,27.60%,All Adam Thielen red zone receiving plays
Antonio Brown,PIT,19,9,47.37%,55,5,22.90%,8,4,50.00%,19,4,22.20%,All Antonio Brown red zone receiving plays
Todd Gurley,LAR,19,9,47.37%,78,3,21.30%,8,2,25.00%,16,1,17.80%,All Todd Gurley red zone receiving plays
Sterling Shepard,NYG,19,9,47.37%,35,4,24.70%,8,5,62.50%,17,4,23.50%,All Sterling Shepard red zone receiving plays
Odell Beckham,NYG,18,6,33.33%,34,4,23.40%,8,4,50.00%,20,4,23.50%,All Odell Beckham red zone receiving plays
