player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Mike Evans,8642,WR,TB,16,168,0,30,15.0,2,55.2,25.0,1,4,9.8,4,33,0,55.4,89.4,1,39,0.0,0,223,37,89.2,199,93.5,67,33.7,4,510,91,2.5,13.8,2.56,0,15.6,1,58.7,100.0,5,5,5.3,3,43,0,68.9,88.5,6,45,0.0,0,378,54,94.4,357,73.4,92,25.8,4,775,97,1.8,14.4,2.17
Odell Beckham Jr.,8647,WR,NYG,16,161,0,21,11.6,8,61.0,0.0,0,2,12.2,5,27,1,47.5,90.0,1,75,0.0,0,202,36,95.5,193,121.0,59,30.6,5,664,290,8.1,18.4,3.44,0,11.5,21,65.3,40.0,2,5,4.6,3,37,1,78.0,80.2,1,43,0.0,0,404,62,94.6,382,93.0,95,24.9,3,692,240,3.9,11.2,1.81
Antonio Brown,5718,WR,PIT,15,151,0,25,12.5,2,57.7,66.7,4,6,3.2,1,17,0,77.8,75.7,2,51,0.0,0,194,30,89.7,174,77.2,52,29.9,2,378,119,4.0,12.6,2.17,0,10.7,7,76.4,63.6,7,11,1.4,1,39,0,90.3,90.4,1,38,0.0,0,365,68,95.9,350,125.1,89,25.4,7,808,246,3.6,11.9,2.31
Larry Fitzgerald,1724,WR,ARZ,16,147,0,1,7.6,3,75.0,50.0,3,6,0.0,0,19,1,90.1,76.2,0,21,1.6,4,254,39,89.8,228,104.5,52,22.8,2,338,90,2.3,8.7,1.48,0,7.5,10,73.8,100.0,6,6,4.6,3,34,1,78.4,77.6,2,32,0.7,3,406,62,93.1,378,89.2,84,22.2,1,637,259,4.2,10.3,1.69
Jordy Nelson,4350,WR,GB,16,146,0,12,11.1,0,64.1,66.7,2,3,2.4,1,26,0,83.6,77.5,1,32,0.0,0,310,41,93.9,291,99.9,64,22.0,4,462,130,3.2,11.3,1.59,0,15.1,3,66.2,50.0,1,2,6.3,3,27,1,69.6,75.3,0,60,0.0,0,345,45,94.8,327,116.9,68,20.8,3,733,237,5.3,16.3,2.24
Julian Edelman,5156,WR,NE,16,146,0,19,9.3,7,62.3,,0,0,13.2,5,23,0,34.9,74.5,0,77,0.0,0,211,33,88.6,187,96.9,53,28.3,1,466,221,6.7,14.1,2.49,0,8.9,7,70.8,66.7,2,3,8.7,6,31,1,61.5,77.2,0,35,0.0,0,354,63,95.5,338,94.6,89,26.3,1,636,265,4.2,10.1,1.88
Allen Robinson II,8696,WR,JAX,16,144,0,15,14.2,2,47.9,33.3,2,6,10.3,4,27,0,46.9,75.6,1,42,0.0,0,298,35,91.9,274,77.0,73,26.6,3,472,106,3.0,13.5,1.72,0,13.7,1,56.7,33.3,2,6,8.1,3,21,1,61.3,59.6,5,35,0.0,0,371,34,95.1,353,41.8,60,17.0,0,392,82,2.4,11.5,1.11
T.Y. Hilton,7092,WR,IND,16,143,0,14,12.4,5,62.9,66.7,2,3,7.1,3,28,0,58.4,85.2,3,63,0.0,0,249,39,91.2,227,89.3,62,27.3,3,578,177,4.5,14.8,2.55,0,15.0,2,63.5,50.0,1,2,9.6,5,36,0,50.0,79.1,2,50,0.0,0,372,47,94.9,353,100.3,74,21.0,2,844,150,3.2,18.0,2.39
Michael Crabtree,4933,WR,OAK,16,142,0,23,9.4,4,57.4,66.7,2,3,20.5,8,21,0,28.8,75.2,2,45,0.0,0,212,31,88.7,188,80.2,54,28.7,3,353,123,4.0,11.4,1.88,0,12.4,9,67.1,87.5,7,8,8.6,5,30,2,60.8,80.3,0,56,0.0,0,328,53,95.4,313,98.8,79,25.2,2,614,152,2.9,11.6,1.96
Demaryius Thomas,5547,WR,DEN,16,141,0,10,10.3,1,59.6,0.0,0,1,11.4,4,18,1,51.6,80.3,1,24,0.0,0,170,31,90.6,154,82.4,52,33.8,2,322,78,2.5,10.4,2.09,0,11.7,5,67.9,80.0,4,5,3.5,2,30,1,81.6,76.6,1,55,0.0,0,375,55,94.1,353,99.9,81,22.9,2,741,241,4.4,13.5,2.1
DeAndre Hopkins,7808,WR,HST,16,138,0,13,12.4,2,51.3,16.7,1,6,9.3,4,31,0,56.9,80.2,5,35,0.0,0,268,39,91.8,246,51.3,76,30.9,2,457,107,2.7,11.7,1.86,0,12.2,4,63.2,75.0,3,4,0.0,0,23,0,90.0,69.1,4,51,0.0,0,342,36,95.3,326,71.1,57,17.5,2,464,147,4.1,12.9,1.42
Terrelle Pryor Sr.,6944,WR,CLV,16,132,0,8,13.9,1,61.8,42.9,3,7,8.1,3,25,0,63.6,89.7,1,43,0.0,0,204,34,91.2,186,95.9,55,29.6,3,418,105,3.1,12.3,2.25,0,14.8,4,56.0,66.7,2,3,6.7,3,22,0,67.4,69.4,5,54,0.0,0,401,42,93.8,376,53.0,75,19.9,0,577,108,2.6,13.7,1.53
Emmanuel Sanders,5606,WR,DEN,16,131,0,10,13.1,2,58.0,100.0,1,1,3.3,1,18,0,76.9,83.9,2,41,0.0,0,168,29,89.3,150,92.3,50,33.3,4,382,52,1.8,13.2,2.55,0,13.2,9,62.3,100.0,5,5,0.0,0,32,1,90.4,76.4,3,64,0.0,0,380,48,95.5,363,76.6,77,21.2,1,637,206,4.3,13.3,1.75
Golden Tate,5585,WR,DET,16,131,0,11,8.4,7,60.7,100.0,1,1,12.8,5,20,1,44.7,65.6,0,35,0.0,0,274,34,92.0,252,92.3,56,22.2,2,373,223,6.6,11.0,1.48,0,7.7,16,80.0,100.0,1,1,3.4,2,25,0,81.9,76.1,1,67,0.0,0,332,56,96.4,320,111.7,70,21.9,2,696,400,7.1,12.4,2.18
Amari Cooper,9437,WR,OAK,16,127,0,23,9.8,5,57.6,40.0,2,5,2.9,1,25,0,80.4,86.7,0,37,0.0,0,220,34,89.1,196,86.5,59,30.1,1,436,151,4.4,12.8,2.22,0,10.4,7,75.4,50.0,1,2,6.1,3,21,1,67.1,72.9,2,64,0.0,0,374,46,95.7,358,119.2,61,17.0,4,674,266,5.8,14.7,1.88
Julio Jones,6158,WR,ATL,14,125,0,2,13.5,3,62.5,50.0,2,4,9.1,3,23,0,59.0,91.3,1,75,0.0,0,159,30,92.5,147,114.6,48,32.7,4,476,181,6.0,15.9,3.24,0,15.1,4,68.9,60.0,3,5,5.6,3,40,0,72.5,91.0,3,53,0.4,1,281,51,96.1,270,102.7,74,27.4,2,907,228,4.5,17.8,3.36
Greg Olsen,3647,TE,CAR,16,122,0,5,10.5,1,54.0,100.0,3,3,3.6,1,23,0,65.8,77.7,1,36,10.0,27,269,27,82.2,221,78.3,50,22.6,2,314,124,4.6,11.6,1.42,0,12.1,2,75.7,100.0,1,1,1.9,1,32,0,88.1,86.4,2,78,12.7,42,332,53,83.7,278,103.2,70,25.2,1,759,245,4.6,14.3,2.73
Jarvis Landry,8698,WR,MIA,16,122,0,17,9.0,7,65.9,33.3,1,3,12.1,4,23,0,49.9,84.6,0,71,0.0,0,188,29,95.7,180,123.2,44,24.4,2,539,313,10.8,18.6,2.99,0,5.5,13,82.4,40.0,2,5,1.6,1,27,1,90.8,78.8,2,39,0.0,0,313,61,96.2,301,87.3,74,24.6,0,566,297,4.9,9.3,1.88
