team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,17,776,37,80,776,90.8,130,13
PHI,24,17,625,9,98,625,89.7,118,11
GB,12,17,606,15,84,606,88.5,119,20
ATL,2,17,486,16,65,486,88.4,97,16
CAR,5,17,519,9,76,519,88.2,104,19
SF,28,17,558,20,82,558,88.2,117,15
BLT,3,17,562,8,92,562,87.9,118,18
PIT,25,17,639,26,96,639,87.9,138,16
JAX,15,17,648,20,105,648,87.4,144,19
KC,16,17,725,25,133,725,86.9,174,16
DAL,9,17,601,36,100,601,86.7,148,12
NO,20,17,563,22,80,563,86.5,127,25
CLV,8,17,616,28,94,616,86.2,146,24
CIN,7,16,682,30,106,682,86.1,163,27
DET,11,17,626,34,110,626,85.9,160,16
LAC,27,17,777,45,136,777,85.8,201,20
NE,19,17,600,17,101,600,85.8,144,26
MIA,17,17,639,32,120,639,85.3,170,18
ARZ,1,17,749,24,148,749,85.2,197,25
DEN,10,17,665,28,108,665,85.1,167,31
BUF,4,16,665,23,143,665,85,183,17
NYJ,22,17,689,36,134,689,84.5,192,22
SEA,29,17,652,35,113,652,84.2,177,29
IND,14,17,684,35,118,684,83.8,187,34
HST,13,17,638,37,135,638,83.2,193,21
MIN,18,17,729,59,116,729,82.9,212,37
LV,23,17,648,39,138,648,82.8,200,23
NYG,21,17,627,34,126,627,82.8,188,28
CHI,6,17,510,16,109,510,82.5,152,27
LA,26,17,611,38,106,611,81.8,183,39
WAS,32,17,629,39,133,629,81.6,202,30
TEN,31,17,531,30,115,531,81.3,172,27
