player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,17,189,0,26,11.4,7,72.9,77.8,7,9,2.8,1,32,0,79.9,93.9,1,59,1.3,2,149,35,94.0,140,145.8,48,34.3,6,606,203,5.8,17.3,4.33,0,8.1,13,78.1,45.5,5,11,6.3,5,39,0,71.6,86.9,4,52,1.1,4,369,75,94.0,347,97.4,96,27.7,2,948,462,6.2,12.6,2.73
Davante Adams,8688,WR,GB,16,166,0,12,10.0,5,71.4,57.1,4,7,2.4,1,30,0,82.6,91.2,1,50,0.0,0,182,40,92.9,169,127.2,56,33.1,6,501,152,3.8,12.5,2.96,0,10.5,5,71.6,40.0,6,15,3.3,2,38,0,82.7,91.0,2,59,0.0,0,295,58,95.3,281,100.6,81,28.8,2,795,341,5.9,13.7,2.83
Diontae Johnson,33441,WR,PIT,16,166,0,25,7.8,3,69.0,50.0,4,8,2.4,1,23,2,74.4,77.1,0,50,0.0,0,200,40,93.5,187,118.0,58,31.0,4,493,294,7.4,12.3,2.64,0,9.6,13,63.6,33.3,3,9,3.9,2,27,0,73.0,71.4,2,45,0.0,0,311,49,92.9,289,73.8,77,26.6,1,465,169,3.4,9.5,1.61
Justin Jefferson,61398,WR,MIN,17,163,0,18,13.7,0,71.4,57.1,4,7,5.4,2,32,0,79.9,92.6,0,37,0.0,0,176,35,91.5,161,140.9,49,30.4,5,532,121,3.5,15.2,3.3,0,13.2,9,67.8,47.4,9,19,7.6,5,35,1,64.5,82.3,1,56,0.0,0,372,61,95.4,355,106.1,90,25.4,2,966,344,5.6,15.8,2.72
Stefon Diggs,9579,WR,BUF,17,158,0,4,11.4,5,55.9,30.8,4,13,5.7,2,21,0,70.1,77.4,1,37,0.4,1,235,33,91.1,214,85.6,59,27.6,3,382,89,2.7,11.6,1.79,0,12.3,11,69.9,53.8,7,13,3.3,2,35,0,82.9,78.6,5,61,0.0,0,381,58,95.8,365,76.1,83,22.7,1,735,208,3.6,12.7,2.01
DJ Moore,48267,WR,CAR,17,156,0,5,9.8,0,57.4,38.5,5,13,3.6,1,18,0,75.5,73.8,3,64,0.0,0,179,27,94.4,169,59.1,47,27.8,1,323,149,5.5,12.0,1.91,0,11.5,5,61.5,33.3,4,12,11.1,7,35,1,44.4,72.4,2,29,0.3,1,396,56,95.7,379,80.5,91,24.0,1,712,252,4.5,12.7,1.88
Tyreek Hill,10799,WR,KC,17,155,0,16,10.9,0,66.0,25.0,2,8,11.4,4,22,1,52.8,77.5,2,44,0.0,0,171,31,90.1,154,83.7,47,30.5,2,341,94,3.0,11.0,2.21,0,11.5,10,73.3,20.0,1,5,6.0,4,41,0,72.2,81.7,0,75,0.0,0,346,63,94.2,326,102.7,86,26.4,1,737,273,4.3,11.7,2.26
Keenan Allen,7857,WR,LAC,16,150,0,27,8.6,0,64.3,30.8,4,13,12.2,5,24,0,39.2,74.8,2,42,0.0,0,209,36,89.0,186,72.2,56,30.1,0,422,133,3.7,11.7,2.27,0,9.5,3,72.5,58.3,7,12,6.5,4,33,1,70.2,72.9,2,41,0.0,0,392,58,95.4,374,92.2,80,21.4,2,610,196,3.4,10.5,1.63
Mark Andrews,47436,TE,BLT,17,149,0,3,8.4,3,73.3,63.6,7,11,5.7,2,25,0,71.4,91.6,1,43,0.6,1,172,33,92.4,159,127.7,45,28.3,5,397,173,5.2,12.0,2.5,0,12.2,6,71.0,55.6,10,18,1.5,1,45,1,85.7,89.0,7,41,1.5,6,398,66,93.7,373,70.5,93,24.9,0,906,261,4.0,13.7,2.43
Marquise Brown,61568,WR,BLT,16,139,0,3,8.8,1,53.8,50.0,2,4,6.7,1,4,1,66.7,52.0,1,42,0.0,0,156,14,92.9,145,64.9,26,17.9,1,132,70,5.0,9.4,0.91,0,13.0,5,66.3,40.0,4,10,6.0,4,28,0,71.8,73.2,1,49,0.0,0,409,63,96.3,394,95.7,95,24.1,3,735,278,4.4,11.7,1.87
