,Player,Tm,Season,Age,PosRank,PPR/G_prev,PPR/G_prev2,prev_team,avg_depth_of_target,caught_percent,grades_offense,grades_pass_route,route_rate,slot_rate,wide_rate,inline_rate,yprr,man_grades_pass_route,zone_grades_pass_route,grades_pass,team_name_copy,pbe,Improvement,PPR/G,Pass Plays/G,Receptions/G,Routes/G,Targets/G,TD/G,YDS/G,YAC/G,RZ Targets/G,P_Att/G,P_Cmp/G,P_TD/G,P_Yds/G
672,Antonio Brown,PIT,2018-19,30,2,22.164285714285715,20.486666666666668,PIT,14.4,65.2,91.2,91.3,92.9,13.4,86.4,0.2,2.87,88.7,91.1,85.9,PIT,86.7,0.08188833620008362,21.58,41.07142857142857,7.214285714285714,38.142857142857146,11.071428571428571,0.6428571428571429,109.5,33.92857142857143,1.4285714285714286,36.875,24.0,1.8125,273.75
673,Davante Adams,GB,2018-19,26,3,15.892857142857142,15.41875,GB,10.0,68.5,80.5,79.4,93.7,19.1,80.5,0.4,1.76,86.2,68.1,74.9,GB,84.3,0.030748740517690675,21.973333333333336,38.42857142857143,5.285714285714286,36.0,7.714285714285714,0.7142857142857143,63.214285714285715,24.642857142857142,1.5714285714285714,35.125,22.0,1.5625,197.9375
674,DeAndre Hopkins,HOU,2018-19,26,4,20.653333333333332,12.3375,HOU,14.0,58.5,90.2,90.3,91.3,15.7,84.0,0.0,2.39,87.8,84.9,64.1,HOU,76.1,0.6740290442418101,20.84375,42.06666666666667,6.4,38.4,10.933333333333334,0.8666666666666667,91.86666666666666,23.066666666666666,1.2666666666666666,32.8125,18.6875,1.75,204.875
675,Julio Jones,ATL,2018-19,29,5,15.74375,18.564285714285713,ATL,14.7,61.5,91.7,91.5,95.7,22.9,76.9,0.0,3.08,91.3,90.5,87.9,ATL,85.4,-0.15193343593689873,20.36875,30.625,5.5,29.3125,8.9375,0.1875,90.25,30.5625,1.125,33.125,21.4375,1.3125,249.375
676,Mike Evans,TB,2018-19,25,6,13.54,19.00625,TB,14.6,53.8,79.3,78.7,94.1,21.0,79.0,0.0,1.69,77.7,77.2,74.4,TB,85.7,-0.28760276224926024,18.15,41.86666666666667,4.733333333333333,39.4,8.8,0.3333333333333333,66.73333333333333,7.2,1.2,37.8125,23.625,1.625,272.875
677,Adam Thielen,MIN,2018-19,28,7,14.98125,12.2,MIN,11.1,67.4,82.5,80.3,92.1,51.8,47.2,0.8,2.33,83.0,75.7,68.7,MIN,85.6,0.22797131147540986,19.20625,37.1875,5.6875,34.25,8.4375,0.25,79.75,26.9375,1.0,32.9375,22.3125,1.5625,234.5625
678,Michael Thomas,NO,2018-19,25,8,16.15625,17.046666666666667,NO,10.0,74.8,90.5,90.9,95.4,22.8,77.2,0.0,2.39,92.1,83.9,85.0,NO,88.8,-0.05223406335549473,19.71875,34.0625,6.5,32.5,8.6875,0.3125,77.8125,28.0625,0.9375,33.5,24.125,1.4375,261.8125
680,Robert Woods,LAR,2018-19,26,10,13.608333333333334,9.146153846153847,LAR,11.0,70.0,79.1,76.8,94.7,30.8,67.6,1.6,2.17,72.2,73.3,73.2,LAR,84.6,0.48787496495654603,16.6,31.666666666666668,4.666666666666667,30.0,6.666666666666667,0.4166666666666667,65.08333333333333,23.833333333333332,0.75,32.375,20.0,1.75,239.4375
681,Tyler Lockett,SEA,2018-19,26,11,7.76875,8.273333333333333,SEA,13.1,66.2,67.3,67.2,92.7,52.6,46.6,0.4,1.15,74.4,61.5,75.3,SEA,82.5,-0.06098912167606772,13.9,32.4375,2.8125,30.0625,4.25,0.125,34.6875,11.75,0.5,34.6875,21.25,2.125,228.5625
682,Stefon Diggs,MIN,2018-19,25,12,14.157142857142857,14.86923076923077,MIN,11.8,68.1,81.7,83.4,92.5,23.7,75.1,1.0,1.9,85.8,77.5,68.7,MIN,85.6,-0.047890030300790844,17.753333333333334,34.42857142857143,4.571428571428571,31.857142857142858,6.714285714285714,0.5714285714285714,60.642857142857146,21.214285714285715,0.8571428571428571,32.9375,22.3125,1.5625,234.5625
683,Keenan Allen,LAC,2018-19,26,14,17.7625,12.3,LAC,9.9,69.4,89.3,89.7,93.8,49.2,49.7,0.3,2.55,90.6,80.3,79.9,LAC,83.6,0.44410569105691045,16.25625,36.4375,6.375,34.1875,9.1875,0.375,87.0625,32.6875,1.3125,36.4375,22.875,1.75,276.9375
685,Brandin Cooks,LAR,2018-19,25,13,13.825,15.39375,NE,15.9,59.6,70.6,71.4,92.1,17.5,82.5,0.0,1.78,66.9,73.4,73.2,LAR,84.6,-0.10190824198132367,15.2,41.3125,4.0625,38.0625,6.8125,0.4375,67.625,14.6875,0.75,32.375,20.0,1.75,239.4375
686,Odell Beckham Jr.,NYG,2018-19,26,16,18.5,18.5375,NYG,13.0,61.0,69.2,70.0,94.1,12.4,87.6,0.0,2.1,50.7,75.6,67.8,NYG,84.1,-0.002022926500337231,19.191666666666666,38.25,6.25,36.0,10.25,0.75,75.5,17.75,1.0,38.0,23.3125,1.25,217.4375
687,Tyler Boyd,CIN,2018-19,24,17,5.65,7.75625,CIN,6.9,71.0,62.0,61.5,94.5,87.2,12.3,0.5,1.09,63.8,58.9,72.3,CIN,83.9,-0.27155519742143425,15.792857142857143,21.9,2.2,20.7,3.1,0.2,22.5,9.3,0.2,31.875,19.0,1.5625,195.125
692,Jarvis Landry,CLE,2018-19,26,22,16.25,14.45625,MIA,6.3,71.8,79.5,80.2,95.4,65.2,33.5,0.6,1.65,79.2,74.7,76.4,CLE,84.0,0.12408127972330302,13.56875,39.3125,7.0,37.5,9.75,0.5625,61.6875,32.6875,1.3125,35.875,19.5,0.9375,201.75
694,Emmanuel Sanders,DEN,2018-19,31,24,9.541666666666666,13.2875,DEN,11.3,54.0,68.1,67.1,94.3,27.3,72.0,0.5,1.35,76.6,58.7,78.1,DEN,81.7,-0.281906553778614,16.516666666666666,36.333333333333336,3.9166666666666665,34.25,7.25,0.16666666666666666,46.25,13.166666666666666,0.6666666666666666,35.375,20.75,1.1875,208.3125
696,Alshon Jeffery,PHI,2018-19,28,26,12.24375,12.174999999999999,PHI,14.8,50.4,74.3,75.0,93.8,15.9,84.1,0.0,1.44,76.8,64.0,84.7,PHI,86.1,0.0056468172484600765,14.253846153846155,36.5625,3.5625,34.3125,7.0625,0.5625,49.3125,12.625,0.9375,35.25,21.3125,2.375,233.5625
698,Larry Fitzgerald,ARI,2018-19,35,28,16.3375,15.2375,ARI,8.5,71.2,80.0,78.8,92.6,61.8,36.6,1.3,1.78,75.0,78.4,65.9,ARI,81.3,0.07219031993437229,11.60625,43.875,6.8125,40.625,9.5625,0.375,72.25,26.125,1.125,37.375,21.1875,1.3125,227.5
699,Sterling Shepard,NYG,2018-19,25,29,13.136363636363637,11.525,NYG,8.9,71.1,70.7,70.6,94.0,83.3,15.6,0.4,1.67,82.8,60.9,67.8,NYG,84.1,0.13981463222244134,11.40625,42.45454545454545,5.363636363636363,39.90909090909091,7.545454545454546,0.18181818181818182,66.45454545454545,27.545454545454547,1.0,38.0,23.3125,1.25,217.4375
700,Mohamed Sanu,ATL,2018-19,29,30,11.620000000000001,9.92,ATL,8.1,71.3,76.8,75.1,95.3,67.2,31.9,0.6,1.57,74.0,71.4,87.9,ATL,85.4,0.17137096774193558,11.4,31.333333333333332,4.466666666666667,29.866666666666667,6.266666666666667,0.3333333333333333,46.86666666666667,16.533333333333335,0.8,33.125,21.4375,1.3125,249.375
702,Adam Humphries,TB,2018-19,25,32,8.04375,8.866666666666667,TB,6.9,74.4,63.0,62.4,93.4,82.0,16.5,0.6,1.26,65.5,61.2,74.4,TB,85.7,-0.09281015037593998,11.79375,33.375,3.8125,31.1875,5.125,0.0625,39.4375,18.75,0.3125,37.8125,23.625,1.625,272.875
703,DeSean Jackson,TB,2018-19,32,33,9.9,12.033333333333333,TB,16.3,57.5,76.8,76.8,93.8,20.0,79.8,0.0,1.53,77.8,73.3,74.4,TB,85.7,-0.17728531855955676,12.608333333333334,33.214285714285715,3.5714285714285716,31.142857142857142,6.214285714285714,0.21428571428571427,47.714285714285715,13.571428571428571,0.35714285714285715,37.8125,23.625,1.625,272.875
708,A.J. Green,CIN,2018-19,30,37,14.175,18.64,CIN,14.3,56.0,82.2,82.7,95.2,13.6,86.2,0.0,2.09,73.7,82.1,72.3,CIN,83.9,-0.23953862660944206,16.6,33.9375,4.6875,32.3125,8.375,0.5,67.375,18.25,1.0,31.875,19.0,1.5625,195.125
709,John Brown,BAL,2018-19,28,40,6.99,6.913333333333333,ARI,16.9,41.2,58.0,58.8,91.5,45.9,54.1,0.0,0.96,54.5,62.1,68.6,BAL,87.0,0.011089681774349148,8.99375,34.0,2.1,31.1,5.1,0.3,29.9,6.0,0.5,35.4375,22.6875,1.25,189.375
711,Nelson Agholor,PHI,2018-19,25,41,12.09375,5.86,PHI,10.5,68.1,73.1,72.3,94.5,86.4,12.8,0.4,1.6,72.9,66.1,84.7,PHI,86.1,1.0637798634812285,10.3375,31.6875,3.875,29.9375,5.6875,0.5,48.0,19.8125,1.125,35.25,21.3125,2.375,233.5625
717,Tyrell Williams,LAC,2018-19,26,47,8.6125,13.55625,LAC,14.3,63.2,62.0,62.4,94.0,38.2,61.8,0.0,1.4,62.0,65.0,79.9,LAC,83.6,-0.3646841862609497,8.6125,34.5625,2.6875,32.5,4.25,0.25,45.5,21.0625,0.0625,36.4375,22.875,1.75,276.9375
719,Jordy Nelson,LV,2018-19,33,50,9.146666666666667,19.04375,GB,11.1,63.1,68.6,67.2,93.9,29.1,70.5,0.4,0.95,65.3,65.0,69.9,LV,87.1,-0.5197024395580352,10.446666666666665,35.93333333333333,3.533333333333333,33.733333333333334,5.6,0.4,32.13333333333333,9.2,0.7333333333333333,34.875,21.6875,1.4375,226.9375
721,Doug Baldwin,SEA,2018-19,30,51,13.95625,15.85,SEA,13.3,67.0,84.4,83.3,90.3,72.2,23.5,4.0,1.83,87.3,76.0,75.3,SEA,82.5,-0.11947949526813874,10.907692307692308,37.5625,4.6875,33.9375,7.0,0.5,61.9375,16.25,0.5,34.6875,21.25,2.125,228.5625
724,Cole Beasley,DAL,2018-19,29,54,6.093333333333334,11.8125,DAL,7.9,63.2,59.9,59.3,89.6,86.9,11.9,0.2,0.85,64.3,57.6,67.8,DAL,84.5,-0.4841622574955908,9.3875,27.533333333333335,2.4,24.666666666666668,3.8,0.26666666666666666,20.933333333333334,7.733333333333333,0.4666666666666667,30.8125,19.3125,1.375,196.3125
725,Taylor Gabriel,CHI,2018-19,27,55,5.10625,10.76923076923077,ATL,10.1,68.8,64.7,65.1,94.8,15.0,85.0,0.0,1.09,60.2,68.8,71.2,CHI,84.3,-0.5258482142857143,9.49375,22.9375,2.0625,21.75,3.0,0.0625,23.625,13.75,0.3125,29.5625,18.1875,0.8125,175.6875
726,Donte Moncrief,JAX,2018-19,25,56,6.425,11.399999999999999,IND,14.6,63.4,61.1,61.6,95.3,16.4,83.4,0.2,1.02,61.1,63.0,68.0,JAX,86.1,-0.4364035087719298,8.175,33.583333333333336,2.1666666666666665,32.0,3.4166666666666665,0.16666666666666666,32.583333333333336,6.583333333333333,0.5833333333333334,32.9375,19.75,1.3125,224.5625
727,Marvin Jones Jr.,DET,2018-19,28,57,14.06875,11.486666666666668,DET,16.1,58.1,76.3,75.8,92.9,11.3,88.4,0.3,1.76,64.8,76.9,76.4,DET,82.5,0.22478961114335444,12.866666666666667,42.125,3.8125,39.125,6.5625,0.5625,68.8125,12.25,0.875,35.625,23.375,1.8125,261.4375
729,Michael Crabtree,BAL,2018-19,31,61,12.271428571428572,14.95625,LV,11.0,58.6,72.0,71.7,92.3,20.8,78.7,0.0,1.62,66.4,69.0,68.6,BAL,87.0,-0.1795116709450182,8.29375,29.5,4.142857142857143,27.214285714285715,7.071428571428571,0.5714285714285714,44.142857142857146,14.0,1.0,35.4375,22.6875,1.25,189.375
730,Devin Funchess,CAR,2018-19,24,60,12.1875,5.739999999999999,CAR,13.6,57.8,71.7,71.8,94.3,21.8,77.8,0.4,1.63,67.9,71.4,65.2,CAR,84.2,1.1232578397212547,8.778571428571428,34.125,3.9375,32.1875,6.8125,0.5,52.5,17.625,0.9375,31.3125,18.3125,1.375,192.3125
731,Rashard Higgins,CLE,2018-19,24,59,4.573333333333333,0.85625,CLE,10.2,58.7,50.4,48.7,93.5,93.8,6.2,0.0,0.66,46.9,52.7,76.4,CLE,84.0,4.341119221411192,9.092307692307692,33.6,1.8,31.4,3.066666666666667,0.13333333333333333,20.8,10.0,0.2,35.875,19.5,0.9375,201.75
733,Cordarrelle Patterson,NE,2018-19,27,63,5.375,7.475,LV,5.6,75.6,65.5,65.4,93.5,31.8,66.8,0.0,1.13,66.5,66.0,92.1,NE,83.5,-0.2809364548494983,6.433333333333334,18.25,1.9375,17.0625,2.5625,0.0,19.3125,13.375,0.25,36.6875,24.3125,2.0,276.125
735,Sammy Watkins,KC,2018-19,25,64,9.753333333333334,10.375,LAR,15.2,59.1,71.5,69.1,95.2,30.8,69.2,0.0,1.3,70.5,66.9,76.3,KC,86.3,-0.05991967871485939,11.51,31.866666666666667,2.6,30.333333333333332,4.4,0.5333333333333333,39.53333333333333,12.533333333333333,0.6666666666666666,33.9375,22.6875,1.625,256.5
736,Will Fuller V,HOU,2018-19,24,66,11.32,9.157142857142857,HOU,16.5,59.6,67.2,68.6,93.2,25.5,73.9,0.6,1.41,59.7,73.9,64.1,HOU,76.1,0.23619344773790962,15.185714285714285,32.2,2.8,30.0,4.7,0.7,42.3,11.1,0.4,32.8125,18.6875,1.75,204.875
741,Willie Snead IV,BAL,2018-19,26,70,1.3818181818181818,12.766666666666667,NO,7.4,61.5,59.2,56.8,97.0,58.5,38.5,1.5,0.7,48.1,60.8,68.6,BAL,87.0,-0.8917635888915263,8.4,12.272727272727273,0.7272727272727273,11.909090909090908,1.1818181818181819,0.0,8.363636363636363,2.8181818181818183,0.2727272727272727,35.4375,22.6875,1.25,189.375
742,Chris Hogan,NE,2018-19,31,72,12.177777777777777,8.593333333333334,NE,13.6,58.6,61.0,61.2,92.1,46.2,53.3,0.3,1.21,53.0,65.3,92.1,NE,83.5,0.4171192138608739,6.6375,43.77777777777778,3.7777777777777777,40.333333333333336,6.444444444444445,0.5555555555555556,48.77777777777778,18.555555555555557,1.3333333333333333,36.6875,24.3125,2.0,276.125
746,Josh Doctson,WAS,2018-19,26,76,7.4875,4.3,WAS,15.1,48.6,62.5,62.5,97.0,20.0,79.6,0.4,1.1,57.8,65.9,78.4,WAS,83.0,0.7412790697674418,7.28,29.375,2.1875,28.5,4.5,0.375,31.375,8.1875,0.9375,33.75,21.6875,1.6875,234.4375
748,Marquise Goodwin,SF,2018-19,28,78,10.5375,6.006666666666666,SF,16.0,56.6,77.1,76.5,97.2,25.2,74.4,0.0,1.95,67.6,81.1,86.8,SF,84.9,0.7543007769145396,7.945454545454546,31.75,3.5,30.875,6.1875,0.125,60.125,12.0625,0.9375,37.9375,22.625,0.9375,245.3125
751,Seth Roberts,LV,2018-19,27,81,6.033333333333333,6.98125,LV,10.0,66.2,54.0,54.6,93.0,82.3,16.9,0.8,0.95,46.6,65.9,69.9,LV,87.1,-0.1357803640704268,7.126666666666667,34.266666666666666,2.8666666666666667,31.866666666666667,4.333333333333333,0.06666666666666667,30.333333333333332,7.2,0.26666666666666666,34.875,21.6875,1.4375,226.9375
753,Jarius Wright,CAR,2018-19,29,83,3.1125,2.9625,MIN,7.2,78.3,71.2,71.8,93.1,79.3,19.5,1.1,1.22,69.1,68.3,65.2,CAR,84.2,0.050632911392405035,6.1,10.875,1.125,10.125,1.4375,0.125,12.375,5.5,0.125,31.3125,18.3125,1.375,192.3125
754,Jamison Crowder,WAS,2018-19,25,84,10.686666666666667,12.34375,WAS,7.6,68.8,72.7,72.5,96.8,74.4,24.1,1.1,1.74,79.6,67.9,78.4,WAS,83.0,-0.13424472573839658,9.2,31.2,4.4,30.2,6.4,0.2,52.6,24.2,0.8666666666666667,33.75,21.6875,1.6875,234.4375
755,Aldrick Robinson,MIN,2018-19,30,85,3.5625,4.01875,SF,12.7,43.2,55.9,56.2,95.3,31.7,67.3,1.1,0.98,53.6,60.5,68.7,MIN,85.6,-0.11353032659409017,5.007142857142857,17.375,1.1875,16.5625,2.75,0.125,16.25,2.5,0.25,32.9375,22.3125,1.5625,234.5625
760,Phillip Dorsett,NE,2018-19,25,90,2.14,6.586666666666667,NE,17.3,70.6,56.3,55.5,93.6,36.5,62.1,0.0,0.95,52.9,60.3,92.1,NE,83.5,-0.6751012145748988,5.11875,14.6,0.8,13.666666666666666,1.1333333333333333,0.0,12.933333333333334,4.6,0.06666666666666667,36.6875,24.3125,2.0,276.125
762,Randall Cobb,GB,2018-19,28,93,10.626666666666667,11.407692307692308,GB,6.1,77.6,64.4,64.8,91.9,77.7,15.5,1.0,1.36,67.6,61.7,74.9,GB,84.3,-0.06846482355585526,9.588888888888889,34.733333333333334,4.4,31.933333333333334,5.666666666666667,0.26666666666666666,43.53333333333333,28.066666666666666,0.4,35.125,22.0,1.5625,197.9375
764,Jaron Brown,SEA,2018-19,28,94,6.41875,5.1000000000000005,ARI,16.2,48.4,59.4,57.9,92.8,26.2,72.8,0.5,0.9,54.2,60.9,75.3,SEA,82.5,0.25857843137254893,3.7875,35.5625,1.9375,33.0,4.0,0.25,29.8125,6.0,0.6875,34.6875,21.25,2.125,228.5625
766,Breshad Perriman,CLE,2018-19,25,96,1.6090909090909091,6.31875,BAL,14.8,32.3,45.1,43.4,95.6,11.1,88.4,0.0,0.36,47.3,45.7,76.4,CLE,84.0,-0.7453466414890747,6.220000000000001,20.454545454545453,0.9090909090909091,19.545454545454547,2.8181818181818183,0.0,7.0,0.7272727272727273,0.2727272727272727,35.875,19.5,0.9375,201.75
770,Geronimo Allison,GB,2018-19,24,100,3.0866666666666664,4.42,GB,7.9,60.5,50.9,52.3,92.9,39.9,59.8,0.4,0.97,47.8,57.9,74.9,GB,84.3,-0.301659125188537,12.459999999999999,18.733333333333334,1.5333333333333334,17.4,2.533333333333333,0.0,16.866666666666667,8.133333333333333,0.3333333333333333,35.125,22.0,1.5625,197.9375
771,Allen Hurns,DAL,2018-19,27,102,9.940000000000001,9.154545454545454,JAX,10.5,72.2,73.8,72.6,94.5,73.4,26.3,0.3,1.57,64.8,74.7,67.8,DAL,84.5,0.08579940417080453,3.84375,32.7,3.9,30.9,5.4,0.2,48.4,17.0,0.7,30.8125,19.3125,1.375,196.3125
772,Jordan Matthews,PHI,2018-19,26,101,5.720000000000001,12.242857142857144,BUF,7.0,73.5,52.7,52.0,94.5,73.1,26.6,0.3,0.91,49.9,56.9,84.7,PHI,86.1,-0.5327887981330222,4.428571428571429,32.7,2.5,30.9,3.4,0.1,28.2,13.2,0.4,35.25,21.3125,2.375,233.5625
775,Paul Richardson Jr.,WAS,2018-19,26,105,9.39375,3.753333333333333,SEA,15.4,55.0,66.9,66.1,91.4,16.8,83.0,0.2,1.29,59.4,69.4,78.4,WAS,83.0,1.5027753108348139,8.442857142857143,37.1875,2.75,34.0,5.0,0.375,43.9375,7.875,0.5625,33.75,21.6875,1.6875,234.4375
780,Laquon Treadwell,MIN,2018-19,23,109,2.5,0.2777777777777778,MIN,12.5,60.6,53.9,54.5,92.6,8.0,92.0,0.0,0.67,68.0,48.7,68.7,MIN,85.6,8.0,4.746666666666667,20.1875,1.25,18.6875,2.0625,0.0,12.5,3.6875,0.0625,32.9375,22.3125,1.5625,234.5625
782,Pierre Garcon,SF,2018-19,32,112,11.25,12.56875,SF,10.1,61.5,77.5,76.3,95.2,23.9,75.8,0.0,1.79,76.2,73.8,86.8,SF,84.9,-0.10492292391844851,7.325,36.625,5.0,34.875,8.125,0.0,62.5,22.125,0.625,37.9375,22.625,0.9375,245.3125
785,Torrey Smith,CAR,2018-19,29,116,5.66875,5.391666666666667,PHI,13.6,57.1,52.0,52.2,94.1,16.6,83.4,0.0,0.97,52.4,55.1,65.2,CAR,84.2,0.051391035548686285,4.545454545454546,29.4375,2.25,27.6875,3.9375,0.125,26.875,7.625,0.3125,31.3125,18.3125,1.375,192.3125
788,Tavon Austin,DAL,2018-19,28,118,2.66875,9.786666666666667,LAR,2.9,61.9,63.1,55.4,95.1,54.3,33.3,0.0,0.61,71.1,53.1,67.8,DAL,84.5,-0.7273075613079019,5.642857142857143,5.0625,0.8125,4.8125,1.3125,0.0,2.9375,5.0625,0.1875,30.8125,19.3125,1.375,196.3125
790,T.J. Jones,DET,2018-19,26,120,5.564285714285715,4.766666666666667,DET,11.8,66.7,74.4,73.2,94.1,32.4,67.6,0.0,1.48,69.1,73.7,76.4,DET,82.5,0.1673326673326675,3.3333333333333335,20.5,2.142857142857143,19.285714285714285,3.2142857142857144,0.07142857142857142,28.5,5.214285714285714,0.42857142857142855,35.625,23.375,1.8125,261.4375
791,Russell Shepard,NYG,2018-19,28,121,3.006666666666667,5.0,CAR,7.9,58.6,47.2,46.3,93.3,79.0,20.3,0.7,0.72,44.9,52.5,67.8,NYG,84.1,-0.3986666666666666,3.4,21.428571428571427,1.2142857142857142,20.0,2.0714285714285716,0.07142857142857142,14.428571428571429,7.785714285714286,0.2857142857142857,38.0,23.3125,1.25,217.4375
793,Travis Benjamin,LAC,2018-19,29,123,8.14375,9.457142857142857,LAC,16.3,54.0,66.8,66.5,94.5,36.4,63.3,0.0,1.5,62.8,69.7,79.9,LAC,83.6,-0.13887839879154074,3.391666666666667,25.0625,2.125,23.6875,3.9375,0.25,35.4375,13.4375,0.125,36.4375,22.875,1.75,276.9375
797,Chris Moore,BAL,2018-19,25,126,5.06923076923077,1.3,BAL,14.1,52.9,59.0,59.2,97.6,24.6,74.6,0.0,1.02,50.5,59.6,68.6,BAL,87.0,2.8994082840236692,2.89375,20.666666666666668,1.5,20.166666666666668,2.8333333333333335,0.25,20.666666666666668,3.1666666666666665,0.5,35.4375,22.6875,1.25,189.375
799,Bennie Fowler,NYG,2018-19,27,129,5.125,2.8846153846153846,DEN,10.7,53.7,56.0,56.8,94.5,69.9,30.1,0.0,0.98,54.5,57.0,67.8,NYG,84.1,0.7766666666666667,4.1899999999999995,23.6875,1.8125,22.375,3.375,0.1875,21.875,6.25,0.5,38.0,23.3125,1.25,217.4375
800,Brandon LaFell,LV,2018-19,32,131,7.8,11.625,CIN,8.7,60.5,57.8,57.7,95.3,35.6,62.3,2.0,1.04,60.1,56.5,69.9,LV,87.1,-0.32903225806451614,6.25,34.625,3.25,33.0,5.375,0.1875,34.25,15.3125,0.625,34.875,21.6875,1.4375,226.9375
802,Justin Hardy,ATL,2018-19,27,132,3.75625,4.08125,ATL,8.8,69.0,61.8,61.3,94.8,38.7,58.5,2.8,1.1,71.7,52.7,87.9,ATL,85.4,-0.07963246554364466,2.45625,13.25,1.25,12.5625,1.8125,0.1875,13.8125,4.8125,0.4375,33.125,21.4375,1.3125,249.375
803,Cody Latimer,NYG,2018-19,26,133,5.609090909090909,1.3,DEN,12.3,70.4,70.0,68.1,93.9,55.7,43.9,0.4,1.24,81.1,57.9,67.8,NYG,84.1,3.314685314685315,6.0,22.363636363636363,1.7272727272727273,21.0,2.4545454545454546,0.18181818181818182,26.09090909090909,5.363636363636363,0.09090909090909091,38.0,23.3125,1.25,217.4375
811,Josh Bellamy,CHI,2018-19,29,142,4.546666666666667,3.55625,CHI,14.0,54.5,63.8,61.3,95.8,20.5,77.7,1.4,1.39,68.5,58.4,71.2,CHI,84.3,0.2785002929115408,2.10625,21.76923076923077,1.8461538461538463,20.846153846153847,3.3846153846153846,0.07692307692307693,28.923076923076923,8.846153846153847,0.23076923076923078,29.5625,18.1875,0.8125,175.6875
813,Brandon Marshall,SEA,2018-19,34,143,6.68,10.386666666666667,NYG,10.6,56.3,62.2,60.5,92.9,3.8,96.2,0.0,0.91,65.4,58.7,75.3,SEA,82.5,-0.35686777920410784,4.371428571428572,36.6,3.6,34.0,6.4,0.0,30.8,9.0,0.4,34.6875,21.25,2.125,228.5625
832,Tommylee Lewis,NO,2018-19,26,162,1.8,1.3083333333333333,NO,10.3,66.7,68.4,65.7,97.1,35.7,64.3,0.0,1.71,67.7,63.4,85.0,NO,88.8,0.37579617834394907,2.0,5.384615384615385,0.7692307692307693,5.230769230769231,1.1538461538461537,0.07692307692307693,8.923076923076923,4.3076923076923075,0.15384615384615385,33.5,24.125,1.4375,261.8125
834,Eli Rogers,PIT,2018-19,26,164,2.6357142857142857,9.692307692307692,PIT,8.1,50.0,52.3,51.3,93.8,93.4,6.3,0.0,0.55,56.5,51.7,85.9,PIT,86.7,-0.7280612244897958,7.166666666666667,20.571428571428573,1.2857142857142858,19.285714285714285,2.5714285714285716,0.07142857142857142,10.642857142857142,5.642857142857143,0.5714285714285714,36.875,24.0,1.8125,273.75
837,Corey Coleman,NYG,2018-19,24,167,7.277777777777778,9.33,CLE,14.5,46.0,60.4,61.9,93.6,7.4,92.3,0.0,1.04,56.5,61.5,67.8,NYG,84.1,-0.2199595093485769,1.575,34.666666666666664,2.5555555555555554,32.44444444444444,5.555555555555555,0.2222222222222222,33.888888888888886,3.0,0.5555555555555556,38.0,23.3125,1.25,217.4375
839,J.J. Nelson,ARI,2018-19,26,168,5.84375,9.273333333333333,ARI,19.2,49.2,59.0,58.2,94.3,26.4,73.6,0.0,1.4,51.9,62.1,65.9,ARI,81.3,-0.36983285406182603,0.9571428571428572,24.125,1.8125,22.75,3.6875,0.125,31.75,3.75,0.1875,37.375,21.1875,1.3125,227.5
841,Kamar Aiken,PHI,2018-19,29,172,1.8866666666666667,4.2375,IND,10.3,39.5,47.0,44.8,94.9,53.1,45.6,1.1,0.38,45.9,49.0,84.7,PHI,86.1,-0.5547689282202556,2.2600000000000002,24.866666666666667,1.0,23.6,2.533333333333333,0.0,8.866666666666667,3.066666666666667,0.26666666666666666,35.25,21.3125,2.375,233.5625
856,Justin Hunter,PIT,2018-19,27,187,1.7571428571428573,4.069230769230769,PIT,12.4,44.4,56.1,56.2,96.1,17.6,82.4,0.0,0.47,70.8,49.9,85.9,PIT,86.7,-0.5681879557115852,1.02,7.285714285714286,0.5714285714285714,7.0,1.2857142857142858,0.14285714285714285,3.2857142857142856,1.8571428571428572,0.2857142857142857,36.875,24.0,1.8125,273.75
859,Brian Quick,WAS,2018-19,29,190,1.2363636363636363,7.2125,WAS,7.0,75.0,76.5,75.7,100.0,24.1,72.2,3.7,1.41,76.3,72.7,78.4,WAS,83.0,-0.8285804317000157,0.7999999999999999,7.714285714285714,0.8571428571428571,7.714285714285714,1.1428571428571428,0.0,10.857142857142858,3.857142857142857,0.14285714285714285,33.75,21.6875,1.6875,234.4375
862,Terrance Williams,DAL,2018-19,29,191,6.95625,7.8375,DAL,9.3,70.7,65.3,63.3,90.9,8.5,88.9,2.6,1.36,66.3,62.7,67.8,DAL,84.5,-0.11244019138755987,1.2666666666666666,28.8125,3.3125,26.1875,4.6875,0.0,35.5,14.8125,0.3125,30.8125,19.3125,1.375,196.3125
865,Damiere Byrd,CAR,2018-19,25,200,4.9625,2.6,CAR,8.8,62.5,59.8,58.8,94.3,18.1,81.0,1.0,1.06,72.1,52.9,65.2,CAR,84.2,0.9086538461538463,0.225,13.125,1.25,12.375,2.0,0.25,13.125,7.875,0.375,31.3125,18.3125,1.375,192.3125
870,Jeremy Kerley,BUF,2018-19,30,205,5.7125,9.16875,NYJ,8.2,88.0,66.4,65.7,97.4,77.0,22.5,0.0,1.17,68.9,64.9,38.0,BUF,87.7,-0.37695978186775725,2.7,23.875,2.75,23.25,3.125,0.125,27.125,7.75,0.125,29.75,18.0625,1.0,176.5625
