team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
BLT,3,16,509,11,55,509,91.4,77,11
KC,16,16,626,21,77,626,90.1,111,13
ARZ,1,16,633,6,108,633,88.6,129,15
NO,20,16,613,24,99,613,88.2,134,11
DAL,9,16,639,30,108,639,87.9,146,8
OAK,23,16,564,15,83,564,87.6,119,21
DEN,10,16,566,24,79,566,87.2,124,21
TB,30,16,707,30,113,707,86.9,164,21
NE,19,16,651,23,109,651,86.8,152,20
CHI,6,16,650,26,117,650,86.7,158,15
BUF,4,16,596,19,111,596,86.2,147,17
HST,13,16,638,16,124,638,86.1,159,19
TEN,31,16,532,22,70,532,86.1,120,28
GB,12,16,635,21,123,635,85.8,162,18
PIT,25,16,561,15,114,561,85.8,144,15
DET,11,16,640,22,125,640,85.5,166,19
CLV,8,16,595,13,119,595,85.4,153,21
WAS,32,16,545,20,105,545,84.9,145,20
SF,28,16,526,19,99,526,84.8,139,21
PHI,24,16,679,35,135,679,84.7,189,19
JAX,15,16,684,17,140,684,84.7,183,26
ATL,2,16,753,46,130,753,84.5,205,29
IND,14,16,576,34,120,576,84,169,15
MIN,18,16,504,22,101,504,83.8,143,20
NYG,21,16,681,35,133,681,83.8,194,26
SEA,29,16,608,22,121,608,83.8,170,27
LA,26,16,664,28,164,664,83.3,207,15
CIN,7,16,673,22,138,673,82.5,198,38
CAR,5,16,714,23,161,714,81.8,222,38
NYJ,22,16,584,31,135,584,81.5,191,25
LAC,27,16,636,50,133,636,81.4,210,27
MIA,17,16,712,54,151,712,81.2,236,31
