player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jelani Woods,60509,TE,IND,15,36,0,14,12.6,0,70.0,33.3,1,3,0.0,0,7,0,75.6,72.7,0,17,3.4,2,59,7,91.5,54,137.1,10,18.5,2,89,18,2.6,12.7,1.65,0,10.7,2,66.7,75.0,3,4,12.5,2,7,1,51.2,64.5,1,36,2.3,3,130,14,93.1,121,76.3,21,17.4,0,194,90,6.4,13.9,1.6
Cameron Brate,9207,TE,TB,11,35,0,30,6.7,0,27.3,0.0,0,3,40.0,2,1,0,28.0,44.5,0,9,2.7,2,73,3,90.4,66,39.6,11,16.7,0,15,10,3.3,5.0,0.23,0,6.5,4,82.4,66.7,2,3,0.0,0,6,0,80.6,61.0,1,21,1.4,2,141,14,95.0,134,75.0,17,12.7,0,134,56,4.0,9.6,1.0
Tutu Atwell,77965,WR,LA,13,35,0,26,17.9,0,50.0,50.0,1,2,0.0,0,4,0,74.6,72.6,0,22,0.0,0,49,6,93.9,46,70.8,12,26.1,0,78,19,3.2,13.0,1.7,0,18.2,1,55.6,75.0,3,4,9.1,1,6,0,58.5,68.3,0,62,0.0,0,99,10,97.0,96,113.0,18,18.8,1,199,47,4.7,19.9,2.07
Irv Smith Jr.,42060,TE,MIN,8,34,0,18,3.5,0,50.0,0.0,0,2,0.0,0,3,0,73.4,57.6,0,15,15.2,12,79,5,79.7,63,62.1,10,15.9,0,44,27,5.4,8.8,0.7,0,3.1,2,88.9,50.0,1,2,0.0,0,3,1,81.7,53.4,0,15,9.4,9,96,16,85.4,82,92.4,18,22.0,0,111,65,4.1,6.9,1.35
Kenneth Walker III,97199,HB,SEA,15,34,0,29,-0.7,0,66.7,,0,0,0.0,0,0,0,68.3,50.3,0,1,25.8,17,66,2,68.2,45,70.1,3,6.7,0,-4,2,1.0,-2.0,-0.09,0,-2.0,9,82.8,100.0,1,1,4.0,1,6,0,74.2,62.3,1,33,14.1,27,191,24,81.2,155,76.9,29,18.7,0,171,219,9.1,7.1,1.1
Rashid Shaheed,63707,WR,NO,12,34,0,20,8.9,0,75.0,0.0,0,1,0.0,0,5,0,74.6,70.7,0,19,0.0,0,50,6,96.0,48,108.3,8,16.7,0,84,38,6.3,14.0,1.75,0,13.3,0,87.5,,0,0,0.0,0,12,0,84.1,82.9,0,68,0.0,0,120,21,97.5,117,146.5,24,20.5,2,399,130,6.2,19.0,3.41
Deon Jackson,57189,HB,IND,12,34,0,14,-0.5,3,100.0,,0,0,0.0,0,7,0,78.7,80.0,0,27,15.4,8,52,11,80.8,42,139.8,11,26.2,1,113,119,10.8,10.3,2.69,0,0.4,2,78.9,,0,0,6.3,1,3,0,65.6,60.6,1,20,15.2,14,92,15,82.6,76,63.8,19,25.0,0,87,89,5.9,5.8,1.14
Noah Gray,60878,TE,KC,17,34,0,16,7.4,1,55.6,25.0,1,4,0.0,0,3,0,73.4,55.7,0,27,10.3,10,97,5,81.4,79,74.3,9,11.4,0,56,31,6.2,11.2,0.71,0,5.6,2,94.4,,0,0,5.6,1,8,0,67.7,65.2,0,26,11.2,20,179,17,87.7,157,129.6,18,11.5,1,192,112,6.6,11.3,1.22
Jonathan Taylor,57488,HB,IND,11,34,0,14,-0.4,1,40.0,0.0,0,1,33.3,1,0,0,29.9,41.2,0,9,14.8,13,88,2,84.1,74,47.9,5,6.8,0,13,18,9.0,6.5,0.18,0,-2.1,3,88.0,,0,0,4.3,1,2,0,72.8,59.7,1,19,11.8,21,178,22,84.3,150,65.3,25,16.7,0,92,138,6.3,4.2,0.61
Mecole Hardman Jr.,42683,WR,KC,8,33,0,16,9.8,2,70.6,100.0,2,2,7.7,1,9,0,46.0,72.7,0,36,0.0,0,94,12,84.0,79,137.3,17,21.5,3,150,62,5.2,12.5,1.9,0,7.6,0,76.9,,0,0,9.1,1,3,0,58.5,59.3,0,30,0.0,0,97,10,97.9,95,98.2,13,13.7,0,100,63,6.3,10.0,1.05
Nick Chubb,45783,HB,CLV,17,33,0,8,2.3,0,50.0,,0,0,0.0,0,0,0,68.3,48.6,0,3,23.1,18,78,2,71.8,56,56.3,4,7.1,0,5,19,9.5,2.5,0.09,0,0.4,9,85.2,100.0,2,2,4.2,1,11,0,73.5,63.8,0,26,13.5,28,208,23,81.3,169,101.2,27,16.0,0,224,232,10.1,9.7,1.33
Daniel Bellinger,84041,TE,NYG,12,33,0,21,5.5,0,87.5,100.0,1,1,12.5,1,2,1,52.1,44.0,0,16,7.0,5,71,7,83.1,59,97.4,8,13.6,0,59,27,3.9,8.4,1.0,0,3.4,0,91.7,100.0,2,2,0.0,0,11,0,84.9,64.8,0,24,9.1,20,220,22,86.8,191,115.6,24,12.6,1,202,127,5.8,9.2,1.06
James Cook,83666,HB,BUF,15,33,0,4,4.6,0,50.0,0.0,0,1,0.0,0,2,0,72.1,73.7,1,11,10.4,5,48,4,79.2,38,56.8,8,21.1,1,25,19,4.8,6.3,0.66,0,2.2,4,66.7,,0,0,14.3,2,3,0,45.7,67.0,0,41,9.2,7,76,12,88.2,67,88.4,18,26.9,0,133,96,8.0,11.1,1.99
Marquez Callaway,42295,WR,NO,13,32,0,20,11.6,0,45.5,50.0,2,4,16.7,1,5,0,45.8,67.3,0,20,0.0,0,51,5,96.1,49,89.2,11,22.4,1,50,14,2.8,10.0,1.02,0,11.3,1,60.0,0.0,0,2,0.0,0,4,0,77.3,54.6,1,15,0.0,0,107,9,95.3,102,43.8,15,14.7,0,70,22,2.4,7.8,0.69
David Bell,97989,WR,CLV,16,32,0,8,7.7,0,85.7,50.0,1,2,0.0,0,3,0,74.6,55.8,0,20,1.9,2,106,6,91.5,97,104.8,7,7.2,0,64,21,3.5,10.7,0.66,0,6.3,2,72.0,42.9,3,7,10.0,2,4,0,57.1,53.9,3,18,0.5,1,184,18,94.6,174,47.5,25,14.4,0,150,53,2.9,8.3,0.86
Skyy Moore,97116,WR,KC,15,32,0,16,16.2,1,63.6,,0,0,0.0,0,5,0,75.6,69.1,0,24,0.0,0,59,7,86.4,51,93.4,11,21.6,0,101,29,4.1,14.4,1.98,0,3.2,6,76.5,0.0,0,2,7.1,1,6,0,63.2,66.5,2,30,0.0,0,106,13,96.2,102,56.1,17,16.7,0,122,114,8.8,9.4,1.2
Laviska Shenault Jr.,61220,WR,CAR,12,32,0,5,4.2,3,60.0,,0,0,0.0,0,3,0,70.5,84.2,0,67,0.0,0,22,3,90.9,20,143.8,5,25.0,1,82,84,28.0,27.3,4.1,0,-2.3,11,91.3,100.0,1,1,4.5,1,7,0,71.3,83.8,0,43,0.0,0,66,21,98.5,65,98.0,23,35.4,0,173,223,10.6,8.2,2.66
Justin Watson,66915,WR,KC,17,32,0,16,19.0,0,41.7,100.0,1,1,16.7,1,4,0,45.8,55.1,1,41,0.0,0,111,5,93.7,104,75.3,12,11.5,2,97,1,0.2,19.4,0.93,0,18.5,0,40.0,0.0,0,2,33.3,3,5,0,28.3,50.4,0,25,0.7,1,147,6,95.2,140,58.2,15,10.7,0,82,20,3.3,13.7,0.59
Colby Parkinson,52266,TE,SEA,17,32,0,29,7.9,0,71.4,66.7,2,3,0.0,0,4,0,73.4,73.7,0,28,8.9,4,45,5,86.7,39,135.1,7,17.9,1,57,31,6.2,11.4,1.46,0,9.0,0,81.3,0.0,0,1,0.0,0,7,0,80.0,60.8,0,36,12.1,19,157,13,84.1,132,134.1,16,12.1,1,179,85,6.5,13.8,1.36
Ameer Abdullah,9487,HB,LV,15,32,0,23,5.0,0,66.7,0.0,0,2,0.0,0,3,0,74.6,72.6,0,23,15.5,9,58,6,77.6,45,87.3,9,20.0,0,64,60,10.0,10.7,1.42,0,1.3,2,88.9,,0,0,0.0,0,3,0,82.2,75.0,0,18,20.2,17,84,16,77.4,65,111.8,18,27.7,1,115,102,6.4,7.2,1.77
Jaylen Warren,98692,HB,PIT,16,32,0,25,-0.7,1,66.7,100.0,1,1,20.0,1,3,0,41.6,58.6,0,26,32.9,26,79,4,64.6,51,82.6,6,11.8,0,36,34,8.5,9.0,0.71,0,-1.2,6,91.3,100.0,1,1,4.5,1,8,0,73.0,79.7,0,15,14.6,18,123,21,80.5,99,93.5,23,23.2,0,148,173,8.2,7.0,1.49
Kendall Hinton,34045,WR,DEN,12,31,0,10,5.2,1,80.0,,0,0,20.0,1,2,0,28.6,50.5,0,32,0.0,0,86,4,87.2,75,103.3,5,6.7,0,44,21,5.3,11.0,0.59,0,9.1,2,76.2,,0,0,5.9,1,10,0,66.7,64.5,0,35,0.0,0,186,16,93.5,174,106.6,21,12.1,0,207,101,6.3,12.9,1.19
Cordarrelle Patterson,7810,HB,ATL,13,31,0,2,-4.0,0,100.0,,0,0,0.0,0,0,0,64.7,50.8,0,-3,21.1,8,38,1,76.3,29,79.2,1,3.4,0,-3,1,1.0,-3.0,-0.1,0,2.0,4,70.4,66.7,2,3,5.0,1,5,0,70.5,71.2,1,16,11.9,16,135,19,84.4,114,62.7,27,23.7,0,113,105,5.5,5.9,0.99
Braxton Berrios,47961,WR,NYJ,16,31,0,22,6.0,0,57.1,,0,0,0.0,0,1,0,72.1,54.8,0,6,0.0,0,53,4,96.2,51,62.2,7,13.7,0,12,22,5.5,3.0,0.24,0,7.3,1,66.7,100.0,3,3,7.7,1,6,0,63.5,63.9,1,25,0.0,0,101,12,97.0,98,61.6,18,18.4,0,117,62,5.2,9.8,1.19
Tommy Tremble,84025,TE,CAR,17,31,0,5,-1.0,0,100.0,,0,0,0.0,0,1,0,70.5,47.3,0,2,7.1,4,56,3,83.9,47,79.2,3,6.4,0,3,6,2.0,1.0,0.06,0,10.5,2,56.5,0.0,0,1,7.1,1,7,0,63.2,47.9,1,29,1.6,3,185,13,92.4,171,86.5,23,13.5,2,146,46,3.5,11.2,0.85
Latavius Murray,7962,HB,DEN,13,31,0,10,-3.0,0,0.0,,0,0,,0,0,0,,50.8,0,0,28.9,11,38,0,60.5,23,39.6,1,4.3,0,0,0,,,0.0,0,-1.3,4,86.4,,0,0,0.0,0,3,0,84.1,67.6,0,14,18.7,31,166,19,77.7,129,87.1,22,17.1,0,108,138,7.3,5.7,0.84
Brandon Powell,48036,WR,LA,17,31,0,26,5.5,1,50.0,0.0,0,1,0.0,0,0,0,68.3,50.6,0,0,2.4,1,41,2,92.7,38,56.3,4,10.5,0,-1,9,4.5,-0.5,-0.03,0,1.0,0,79.2,100.0,1,1,0.0,0,6,0,83.6,69.3,0,16,3.2,3,93,19,95.7,89,89.9,24,27.0,0,134,150,7.9,7.1,1.51
Eno Benjamin,57136,HB,NO,14,30,0,20,0.8,2,100.0,100.0,1,1,0.0,0,2,0,72.1,71.8,0,16,20.5,8,39,4,71.8,28,104.2,4,14.3,0,36,33,8.3,9.0,1.29,0,-1.7,6,83.3,0.0,0,1,6.3,1,5,0,66.7,62.1,0,22,9.0,12,133,15,85.7,114,93.5,18,15.8,0,116,152,10.1,7.7,1.02
Jamal Agnew,11920,WR,JAX,14,30,0,15,-0.2,2,100.0,,0,0,0.0,0,4,0,73.4,85.1,0,14,0.0,0,13,5,92.3,12,133.8,5,41.7,3,33,34,6.8,6.6,2.75,0,8.5,0,71.4,50.0,1,2,16.7,3,5,0,38.1,61.1,0,24,1.5,1,66,15,92.4,61,88.6,21,34.4,0,136,72,4.8,9.1,2.23
