team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
NO,20,16,559,26,69,559,88.8,110,15
BUF,4,16,569,15,93,569,87.7,124,16
TEN,31,16,553,16,96,553,87.3,126,14
OAK,23,16,592,14,99,592,87.1,133,20
MIA,17,16,646,23,116,646,87.1,153,14
BLT,3,16,596,16,105,596,87,138,17
PIT,25,16,619,24,113,619,86.7,151,14
KC,16,16,616,20,121,616,86.3,155,14
PHI,24,16,636,35,96,636,86.1,154,23
JAX,15,16,575,31,111,575,86.1,151,9
TB,30,16,677,26,119,677,85.7,169,24
MIN,18,16,572,33,110,572,85.6,154,11
ATL,2,16,568,32,98,568,85.4,148,18
SF,28,16,667,32,124,667,84.9,179,23
LA,26,16,551,25,107,551,84.6,151,19
DAL,9,16,555,26,108,555,84.5,153,19
GB,12,16,651,26,131,651,84.3,181,24
CHI,6,16,536,26,108,536,84.3,151,17
CAR,5,16,564,21,123,564,84.2,161,17
NYG,21,16,650,24,129,650,84.1,180,27
CLV,8,16,679,32,133,679,84,191,26
CIN,7,16,562,10,125,562,83.9,158,23
LAC,27,16,602,36,143,602,83.6,188,9
NE,19,16,628,40,125,628,83.5,186,21
WAS,32,16,606,35,121,606,83,181,25
SEA,29,16,653,28,162,653,82.5,209,19
NYJ,22,16,577,28,124,577,82.5,177,25
DET,11,16,633,23,154,633,82.5,199,22
IND,14,16,581,26,134,581,82.4,182,22
DEN,10,16,655,31,145,655,81.7,208,32
ARZ,1,16,664,39,147,664,81.3,217,31
HST,13,16,602,36,182,602,76.1,253,35
