player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Derek Newton,6366,T,HST,16,0,13,81.1,100,118,22.6,118,87.3,1,100,522,522,84,100,345,66.1,345
Chris Myers,2417,C,HST,16,2,13,85.8,100,118,22.8,118,76.5,2,100,517,517,71,100,342,66.2,342
Duane Brown,4340,T,HST,16,0,13,67.3,100,118,22.8,118,73,1,100,517,517,71.2,100,342,66.2,342
Tyron Smith,6161,T,DAL,16,1,9,86.6,100,210,41.1,210,81.8,2,100,511,511,70.5,100,265,51.9,265
Travis Frederick,7812,C,DAL,16,0,9,79.7,100,210,41.1,210,85.1,4,100,511,511,77.9,100,265,51.9,265
Zack Martin,8651,G,DAL,16,0,9,72,100,210,41.5,210,78,1,100,506,506,75.3,100,260,51.4,260
Jason Witten,1384,TE,DAL,16,0,9,84.2,100,209,41.6,209,77,3,100,502,502,62.6,100,260,51.8,260
Ben Jones,7099,G,HST,16,0,13,74.9,100,111,22.4,111,67.8,2,100,496,496,62.1,100,328,66.1,328
Justin Britt,8699,T,SEA,16,0,29,73,100,31,6.4,31,84.8,3,100,485,485,85,100,402,82.9,402
Ron Leary,7338,G,DAL,15,0,9,85.5,100,198,40.8,198,82,2,100,485,485,72.7,100,252,52,252
J.R. Sweezy,7209,G,SEA,16,0,29,57.1,100,30,6.2,30,78.4,1,100,483,483,75.8,100,401,83,401
Russell Bodine,8746,C,CIN,16,0,7,66.3,100,215,44.8,215,66,1,100,480,480,58.4,100,213,44.4,213
Clint Boling,6253,G,CIN,16,0,7,69.3,100,215,44.8,215,71,1,100,480,480,69.3,100,213,44.4,213
DeAndre Hopkins,7808,WR,HST,16,0,13,76.1,100,114,23.8,114,72.7,0,100,478,478,59.2,100,320,66.9,320
Breno Giacomini,4464,T,NYJ,16,0,22,58.7,100,126,26.6,126,67.1,1,100,473,473,70.7,100,297,62.8,297
D'Brickashaw Ferguson,2949,T,NYJ,16,0,22,63.8,100,126,26.6,126,61.8,0,100,473,473,59.9,100,297,62.8,297
Willie Colon,3076,G,NYJ,16,0,22,71.5,100,126,26.8,126,62.2,4,100,471,471,57.3,100,296,62.8,296
Joel Bitonio,8670,G,CLV,16,0,8,59.8,100,59,12.6,59,73.1,1,100,468,468,74.4,100,373,79.7,373
Mitchell Schwartz,7041,T,CLV,16,1,8,67.4,100,59,12.6,59,67.9,2,100,468,468,67.3,100,373,79.7,373
Brandon Brooks,7078,G,HST,15,0,13,63.3,100,106,22.6,106,82.6,2,100,468,468,89.1,100,308,65.8,308
Joe Thomas,3619,T,CLV,16,1,8,72.6,100,59,12.6,59,86.9,1,100,468,468,83.2,100,373,79.7,373
John Greco,4379,G,CLV,16,0,8,68.7,100,59,12.6,59,77.7,1,100,468,468,76.9,100,373,79.7,373
Andrew Whitworth,3000,T,CIN,16,2,7,90.4,100,207,45,207,86.2,2,100,460,460,69.2,100,204,44.3,204
Manuel Ramirez,3733,C,DEN,16,0,10,84.6,100,123,27,123,68.7,4,100,456,456,59.4,100,291,63.8,291
Louis Vasquez,5001,G,DEN,16,0,10,68.3,100,122,27,122,75.3,1,100,452,452,73.7,100,288,63.7,288
Tony Romo,1693,QB,DAL,15,0,9,60,100,194,43.1,194,60,0,96.6,450,466,60,99.6,239,53.1,240
John Jerry,5598,G,NYG,16,0,21,64.5,100,175,39.1,175,62.4,2,100,448,448,56.7,100,228,50.9,228
Jason Peters,2148,T,PHI,16,0,24,77.1,100,147,32.9,147,88.4,2,100,447,447,86.2,100,285,63.8,285
Jeremy Zuttah,4397,C,BLT,16,0,3,72.2,100,39,8.8,39,77.6,0,100,441,441,76.3,100,355,80.5,355
Orlando Franklin,6198,G,DEN,16,0,10,66.3,100,118,26.8,118,74.3,3,100,440,440,72.9,100,279,63.4,279
Marshal Yanda,3702,G,BLT,16,0,3,78.3,100,40,9.1,40,93.4,0,100,439,439,94.2,100,352,80.2,352
J.D. Walton,5604,C,NYG,16,0,21,67.2,100,173,39.5,173,66.6,1,100,438,438,58.2,100,222,50.7,222
Ryan Kalil,3675,C,CAR,16,0,5,71.9,100,217,49.7,217,71.7,0,100,437,437,65.7,100,166,38,166
Will Beatty,4983,T,NYG,16,0,21,87.2,100,171,39.2,171,73.7,2,100,436,436,61.9,100,223,51.1,223
Brent Celek,3778,TE,PHI,16,0,24,88.6,100,141,32.7,141,84.4,0,100,431,431,67.6,100,271,62.9,271
Eli Manning,1722,QB,NYG,16,0,21,60,100,172,39.9,172,60,0,98.6,431,437,60,100,222,51.5,222
Greg Olsen,3647,TE,CAR,16,0,5,75.5,100,213,49.5,213,78.2,0,100,430,430,72.4,100,166,38.6,166
Andy Dalton,6187,QB,CIN,16,0,7,60.3,99.5,212,49.4,213,60.3,0,91.1,429,471,60,94.2,196,45.7,208
Joe Staley,3644,T,SF,16,0,28,90.1,100,224,52.8,224,90.5,1,100,424,424,78.1,100,142,33.5,142
David DeCastro,7640,G,PIT,16,0,25,76.4,100,199,47.3,199,74,0,100,421,421,72.5,100,173,41.1,173
Kelvin Beachum,7229,T,PIT,16,0,25,68.9,100,199,47.3,199,68.1,1,100,421,421,58.4,100,173,41.1,173
Jeff Cumberland,5861,TE,NYJ,16,0,22,52.9,100,114,27.1,114,55.2,1,100,421,421,59.8,100,264,62.7,264
Corey Linsley,8796,C,GB,16,0,12,77.5,100,103,24.7,103,71,2,100,417,417,64.4,100,240,57.6,240
Rick Wagner,7950,T,BLT,15,0,3,65.5,100,37,8.9,37,73.3,0,100,417,417,73.2,100,334,80.1,334
Russell Wilson,7077,QB,SEA,16,0,29,60,96.7,29,7,30,60,0,86.3,417,483,60,91.5,367,88,401
Nick Mangold,2974,C,NYJ,15,0,22,76.9,100,110,26.4,110,81.4,0,100,416,416,78.4,100,260,62.5,260
Weston Richburg,8678,G,NYG,16,0,21,65,100,162,39,162,58.7,2,100,415,415,60.4,100,212,51.1,212
Mohamed Sanu,7084,WR,CIN,16,0,7,65.8,98.4,187,45.1,190,70.2,1,98.3,415,422,64.5,99.5,191,46,192
Maurkice Pouncey,5543,C,PIT,16,0,25,70.5,100,196,47.3,196,73.4,1,100,414,414,69,100,171,41.3,171
Peyton Manning,327,QB,DEN,16,1,10,60,99.2,120,29.1,121,60,1,94.5,412,436,60,99.6,276,67,277
Joe Flacco,4332,QB,BLT,16,0,3,60,97.5,39,9.5,40,60,0,93.2,412,442,60,100,355,86.2,355
Ryan Clady,4326,T,DEN,16,0,10,65.2,100,117,28.5,117,69.4,1,100,411,411,68.1,100,258,62.8,258
Byron Bell,6848,T,CAR,15,0,5,51.6,100,204,49.8,204,55.8,1,100,410,410,59.6,100,155,37.8,155
Andre Johnson,1319,WR,HST,15,0,13,76.8,100,93,22.7,93,68.4,0,100,410,410,68.9,100,277,67.6,277
Heath Miller,2247,TE,PIT,16,0,25,78.9,100,197,48.6,197,74.4,2,100,405,405,61,100,171,42.2,171
Nate Solder,6169,T,NE,16,0,19,78.6,100,186,46.6,186,67.8,0,100,399,399,51.1,100,154,38.6,154
Jahri Evans,3053,G,NO,16,0,20,62.6,100,124,31.1,124,70.4,1,100,399,399,74,100,209,52.4,209
Erik Pears,2737,G,BUF,16,0,4,63.6,100,98,24.6,98,64.4,2,100,398,398,65,100,260,65.3,260
Seantrel Henderson,8871,T,BUF,16,0,4,49.6,100,98,24.6,98,48.4,0,100,398,398,51.7,100,260,65.3,260
Demaryius Thomas,5547,WR,DEN,16,0,10,59.7,100,109,27.5,109,76.3,0,100,397,397,71.8,100,256,64.5,256
Ben Grubbs,3645,G,NO,16,0,20,68.6,100,122,30.7,122,63.7,2,100,397,397,60,100,209,52.6,209
Brian Hoyer,5277,QB,CLV,14,0,8,60,100,53,13.4,53,60,0,96.1,396,412,60,99.1,328,82.8,331
Eric Wood,4951,C,BUF,16,0,4,73.6,100,96,24.3,96,71.8,2,100,395,395,67.2,100,259,65.6,259
Lyle Sendlein,4062,C,ARZ,16,0,1,51.4,100,211,53.7,211,49.7,2,100,393,393,54.7,100,133,33.8,133
Rodney Hudson,6207,C,KC,16,1,16,68.9,100,183,46.6,183,68.5,2,100,393,393,58.6,100,177,45,177
Chad Rinehart,4410,G,SD,16,0,27,57.9,100,99,25.2,99,58.4,2,100,393,393,47.9,100,204,51.9,204
Bobby Massie,7112,T,ARZ,16,0,1,68.4,100,211,53.7,211,70.6,0,100,393,393,60.6,100,133,33.8,133
Jared Veldheer,5594,T,ARZ,16,0,1,77.1,100,211,53.7,211,72.5,0,100,393,393,63.7,100,133,33.8,133
Zach Fulton,8828,G,KC,16,0,16,63.8,100,183,46.6,183,57.7,1,100,393,393,53,100,177,45,177
Eric Fisher,7783,T,KC,16,0,16,72.8,100,183,46.6,183,70.1,1,100,393,393,60.8,100,177,45,177
Joe Barksdale,6244,T,SL,16,0,26,75.1,100,112,28.6,112,79.6,0,100,392,392,81.7,100,225,57.4,225
Sebastian Vollmer,4981,T,NE,15,0,19,65.2,100,188,48,188,71.4,0,100,392,392,63.3,100,146,37.2,146
Samson Satele,3676,C,MIA,16,0,17,65.6,100,62,15.9,62,64.4,1,100,391,391,64.7,100,304,77.7,304
Russell Okung,5531,T,SEA,14,0,29,67.3,100,21,5.4,21,66.7,2,100,391,391,68.2,100,328,83.9,328
Ja'Wuan James,8654,T,MIA,16,1,17,64.4,100,60,15.4,60,61.5,4,100,390,390,59,100,304,77.9,304
Mike Iupati,5542,G,SF,15,0,28,81.1,100,206,52.8,206,82.4,0,100,390,390,75.3,100,130,33.3,130
King Dunlap,4544,T,SD,16,0,27,85.6,100,97,24.9,97,76.3,0,100,389,389,62.6,100,202,51.9,202
Scott Wells,1965,C,SL,16,0,26,66.7,100,111,28.5,111,57.3,1,100,389,389,60.4,100,224,57.6,224
Jermaine Gresham,5546,TE,CIN,15,0,7,69.3,100,173,44.5,173,71.3,1,100,389,389,68.3,100,172,44.2,172
Ben Roethlisberger,1732,QB,PIT,16,0,25,60,100,196,50.4,196,60,0,94,389,414,60,98.8,169,43.4,171
Rob Sims,3073,G,DET,16,0,11,63.4,100,138,35.6,138,69.2,1,100,388,388,59.1,100,202,52.1,202
Cordy Glenn,7045,T,BUF,16,0,4,63.6,100,95,24.5,95,71.1,1,100,387,387,70.2,100,254,65.6,254
Anthony Castonzo,6174,T,IND,16,0,14,69.1,100,180,46.6,180,66.7,0,100,386,386,59.2,100,146,37.8,146
Ted Larsen,5728,G,ARZ,16,1,1,68.2,100,207,53.6,207,68.7,2,100,386,386,69.2,100,131,33.9,131
Drew Brees,802,QB,NO,16,0,20,60,100,124,32.1,124,60,0,96.7,386,399,60,100,209,54.1,209
Antonio Brown,5718,WR,PIT,16,0,25,65.4,100,189,49.2,189,63,1,99,384,388,61,100,166,43.2,166
Ryan Harris,3686,T,KC,16,0,16,65.3,100,181,47.1,181,70.3,1,100,384,384,66.1,100,170,44.3,170
David Bakhtiari,7891,T,GB,16,0,12,57.4,100,97,25.3,97,55.7,3,100,384,384,57.7,100,229,59.6,229
