player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Doug Free,3738,T,DAL,16,0,9,60.9,100,182,37.4,182,66.6,2,100,487,487,65,100,257,52.8,257
Zack Martin,8651,G,DAL,16,0,9,71.6,100,182,37.4,182,84,1,100,487,487,83.2,100,257,52.8,257
Travis Frederick,7812,C,DAL,16,0,9,71,100,182,37.4,182,84.5,3,100,487,487,85.7,100,257,52.8,257
Joe Thuney,10712,G,NE,16,0,19,71.3,100,260,55,260,65.1,1,100,473,473,53.3,100,151,31.9,151
David Andrews,9948,C,NE,16,0,19,70.6,100,260,55,260,67.2,3,100,473,473,54,100,149,31.5,149
Jason Witten,1384,TE,DAL,16,0,9,65.5,100,178,38,178,65.3,1,100,469,469,61.2,100,247,52.7,247
Jack Conklin,10642,T,TEN,16,0,31,68.6,100,236,51.4,236,74,0,100,459,459,73,100,190,41.4,190
Ben Jones,7099,C,TEN,16,0,31,66.8,100,234,51.1,234,70.4,2,100,458,458,72.3,100,191,41.7,191
Andrew Norwell,9126,G,CAR,16,0,5,72.1,100,263,58.2,263,72.5,0,100,452,452,63.4,100,116,25.7,116
Mike Remmers,7431,T,CAR,16,0,5,76.3,100,263,58.3,263,69.3,2,100,451,451,53.3,100,115,25.5,115
Greg Mancz,10019,C,HST,16,0,13,66.7,100,142,31.6,142,71.3,2,100,449,449,69.6,100,249,55.5,249
Trai Turner,8727,G,CAR,16,0,5,64.7,100,261,58.3,261,70.8,2,100,448,448,73.1,100,114,25.4,114
Richie Incognito,2298,G,BUF,16,0,4,71.1,100,244,54.6,244,71.8,2,100,447,447,69.3,100,160,35.8,160
John Miller,9514,G,BUF,16,0,4,62.6,100,244,54.6,244,66.9,1,100,447,447,79.2,100,160,35.8,160
Dak Prescott,10769,QB,DAL,16,0,9,60,99.4,177,40.4,178,60,0,93.6,438,468,60,96,238,54.3,248
Nate Solder,6169,T,NE,15,0,19,73.9,100,242,55.3,242,77,1,100,438,438,67.1,100,137,31.3,137
Marcus Cannon,6290,T,NE,15,0,19,90.6,100,242,55.4,242,87.7,1,100,437,437,72.4,100,135,30.9,135
Jordan Mills,7945,T,BUF,16,0,4,64,100,238,54.5,238,59.7,2,100,437,437,55.3,100,157,35.9,157
Chris Clark,4623,T,HST,16,0,13,58.8,100,141,32.4,141,64,3,100,435,435,66.2,100,236,54.3,236
Ali Marpet,9494,G,TB,16,0,30,69.6,100,189,43.5,189,82.9,2,100,434,434,89,100,191,44,191
Donovan Smith,9467,T,TB,16,0,30,66.5,100,189,43.5,189,67.3,3,100,434,434,62.6,100,191,44,191
Gabe Jackson,8716,G,OAK,16,0,23,68.6,100,225,52.1,225,69.8,4,100,432,432,62.8,100,152,35.2,152
Rodney Hudson,6207,C,OAK,16,1,23,80.5,100,225,52.2,225,80.6,1,100,431,431,79.6,100,152,35.3,152
Donald Penn,3459,T,OAK,16,0,23,88.1,100,224,52,224,90.1,0,100,431,431,82.9,100,152,35.3,152
DeAndre Hopkins,7808,WR,HST,16,0,13,63.3,100,138,32.1,138,77.9,1,100,430,430,76.4,100,236,54.9,236
Jason Kelce,6343,C,PHI,16,0,24,63.3,100,178,41.4,178,79.1,5,100,430,430,71.6,100,204,47.4,204
Shaq Mason,9564,G,NE,16,0,19,86.5,100,238,55.5,238,81,3,100,429,429,66.8,100,134,31.2,134
Taylor Lewan,8646,T,TEN,16,0,31,86.4,100,217,50.8,217,87.5,2,100,427,427,76.3,100,181,42.4,181
Kevin Zeitler,7032,G,CIN,16,0,7,76,100,196,45.9,196,78.2,1,100,427,427,76.7,100,205,48,205
Xavier Su'a-Filo,8668,G,HST,16,0,13,54.1,100,134,32,134,66.7,1,100,419,419,70.6,100,232,55.4,232
Russell Bodine,8746,C,CIN,16,0,7,62.1,100,193,46.2,193,70,0,100,418,418,72.9,100,199,47.6,199
Alejandro Villanueva,9091,T,PIT,16,2,25,68.3,100,229,54.8,229,70.7,4,100,418,418,70.5,100,126,30.1,126
David DeCastro,7640,G,PIT,16,0,25,85,100,229,54.8,229,81.5,5,100,418,418,70.9,100,126,30.1,126
Zane Beadles,5570,G,SF,16,0,28,76.1,100,94,22.6,94,56.2,1,100,416,416,50,100,312,75,312
Trent Brown,9677,T,SF,16,0,28,65.2,100,94,22.6,94,58.2,1,100,416,416,55.8,100,312,75,312
Josh Kline,8230,G,TEN,14,0,31,66.5,100,216,52.3,216,65.6,0,100,413,413,57.8,100,169,40.9,169
Ryan Schraeder,8496,T,ATL,16,0,2,75.4,100,76,18.4,76,88.3,2,100,413,413,91,100,299,72.4,299
Andrew Whitworth,3000,T,CIN,16,0,7,69.8,100,188,45.5,188,69.2,2,100,413,413,61,100,201,48.7,201
Chris Chester,3001,G,ATL,16,0,2,62.5,100,76,18.4,76,72.5,1,100,413,413,67.4,100,299,72.4,299
